marketPk,eventPk,marketTitle,marketType,outcome,outcomeIndex,truePrice,spread,steps,toReturn,toLose,depthPercentages,seed
8uPCRoJjAMLRkUfGJm7sgk8PyreFcp4r646439ufY9Nt,6XmdvYx2xUgMTXm9eSMKW6TXPLM3egXadETKKE7qyvfE,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
8uPCRoJjAMLRkUfGJm7sgk8PyreFcp4r646439ufY9Nt,6XmdvYx2xUgMTXm9eSMKW6TXPLM3egXadETKKE7qyvfE,Full Time Result,EventResultFullTime,Napoli,2,2,2,2,100,100,"100,75,50",FALSE
4zHEBGGF7Bspj6CxZcUzs9Kw3vKXNa9R4dAK1L9FUqWG,7CYMeajYhqVxo7c6bTCD1bAkHVyHkGnaR121dbZaLfm,Full Time Result,EventResultFullTime,Ajaccio,0,2,2,2,100,100,"100,75,50",FALSE
4zHEBGGF7Bspj6CxZcUzs9Kw3vKXNa9R4dAK1L9FUqWG,7CYMeajYhqVxo7c6bTCD1bAkHVyHkGnaR121dbZaLfm,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
4zHEBGGF7Bspj6CxZcUzs9Kw3vKXNa9R4dAK1L9FUqWG,7CYMeajYhqVxo7c6bTCD1bAkHVyHkGnaR121dbZaLfm,Full Time Result,EventResultFullTime,Brest,2,2,2,2,100,100,"100,75,50",FALSE
BYNwUDUgXQWkfGLUjD5Y5a2Pz5f8o1262FJaKrvV6MX8,7Jw8R3eaySMRLG8MjB4V1tijK3wVFUyotaWBMbbCUJjV,Winner,EventResultWinner,Boston Celtics,0,2,2,2,100,100,"100,75,50",FALSE
BYNwUDUgXQWkfGLUjD5Y5a2Pz5f8o1262FJaKrvV6MX8,7Jw8R3eaySMRLG8MjB4V1tijK3wVFUyotaWBMbbCUJjV,Winner,EventResultWinner,Atlanta Hawks,1,2,2,2,100,100,"100,75,50",FALSE
2z44bSjRDyfrz4WY4NPUXMGn3ZY9weqcWpPenH5rhjYu,7VAfVAXpaMuxn5MpAfNvLJjnu9ezWZCBq5iejAcdZTLK,Winner,EventResultWinner,Los Angeles Clippers,0,2,2,2,100,100,"100,75,50",FALSE
2z44bSjRDyfrz4WY4NPUXMGn3ZY9weqcWpPenH5rhjYu,7VAfVAXpaMuxn5MpAfNvLJjnu9ezWZCBq5iejAcdZTLK,Winner,EventResultWinner,Phoenix Suns,1,2,2,2,100,100,"100,75,50",FALSE
gSVarQKrh4ATmRjSuxtCgiD5NGamaykGbr2qEQB41wA,7Z5BXqmohsekz7BhDK85CunthuSLHBRpiiLbDrzbEHgN,Winner,EventResultWinner,Royal Challengers Bangalore,0,2,2,2,100,100,"100,75,50",FALSE
gSVarQKrh4ATmRjSuxtCgiD5NGamaykGbr2qEQB41wA,7Z5BXqmohsekz7BhDK85CunthuSLHBRpiiLbDrzbEHgN,Winner,EventResultWinner,Rajasthan Royals,1,2,2,2,100,100,"100,75,50",FALSE
8VwYRidRPcbtef6NtqDUSwBPMAgnMMnzTYbieXqMh6xG,7krsFSXfo4KQ3ByozEi1WtFvzhjSTokX64mTLp8CPfrH,Full Time Result,EventResultFullTime,Reims,0,2,2,2,100,100,"100,75,50",FALSE
8VwYRidRPcbtef6NtqDUSwBPMAgnMMnzTYbieXqMh6xG,7krsFSXfo4KQ3ByozEi1WtFvzhjSTokX64mTLp8CPfrH,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
8VwYRidRPcbtef6NtqDUSwBPMAgnMMnzTYbieXqMh6xG,7krsFSXfo4KQ3ByozEi1WtFvzhjSTokX64mTLp8CPfrH,Full Time Result,EventResultFullTime,Strasbourg,2,2,2,2,100,100,"100,75,50",FALSE
GrNmddxet9T3FdBgtVgw4o4grMyBxEgGAHTjP9UTVBLh,9Ld9idhmg6JVsNuk9ugLcDrJcTS7WCQfAGByK9QdPNoz,Winner,EventResultWinner,Atlanta Hawks,0,2,2,2,100,100,"100,75,50",FALSE
GrNmddxet9T3FdBgtVgw4o4grMyBxEgGAHTjP9UTVBLh,9Ld9idhmg6JVsNuk9ugLcDrJcTS7WCQfAGByK9QdPNoz,Winner,EventResultWinner,Boston Celtics,1,2,2,2,100,100,"100,75,50",FALSE
HD7wLzXQuvMzP2s6eUeP4Lc1upZoJNsPodzd2v35iXgP,9QN1VVRwDiE8pVs5J2U5bp8xKH4jGNwudZY9Syer6peT,Full Time Result,EventResultFullTime,AS Roma,0,2,2,2,100,100,"100,75,50",FALSE
HD7wLzXQuvMzP2s6eUeP4Lc1upZoJNsPodzd2v35iXgP,9QN1VVRwDiE8pVs5J2U5bp8xKH4jGNwudZY9Syer6peT,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
HD7wLzXQuvMzP2s6eUeP4Lc1upZoJNsPodzd2v35iXgP,9QN1VVRwDiE8pVs5J2U5bp8xKH4jGNwudZY9Syer6peT,Full Time Result,EventResultFullTime,AC Milan,2,2,2,2,100,100,"100,75,50",FALSE
FTnP7hMaEyKZ6HAZJVPtQHhqxu8PBfiYAhj2SwTyu5ka,9SvLHxs24oZMSsghLf6tUNpxAy5jdiwBYSeNfZbVFSrT,Winner,EventResultWinner,Cleveland Cavaliers,0,2,2,2,100,100,"100,75,50",FALSE
FTnP7hMaEyKZ6HAZJVPtQHhqxu8PBfiYAhj2SwTyu5ka,9SvLHxs24oZMSsghLf6tUNpxAy5jdiwBYSeNfZbVFSrT,Winner,EventResultWinner,New York Knicks,1,2,2,2,100,100,"100,75,50",FALSE
BVPFjXu923FQY3jaFah89eWtRQQuYxR52uqc5Qcd9t7D,9WdzwW7TrWzNZKtip6FKwcRMjCqRZis5mkJB5ira2T5K,Full Time Result,EventResultFullTime,Olympique Lyon,0,2,2,2,100,100,"100,75,50",FALSE
BVPFjXu923FQY3jaFah89eWtRQQuYxR52uqc5Qcd9t7D,9WdzwW7TrWzNZKtip6FKwcRMjCqRZis5mkJB5ira2T5K,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
BVPFjXu923FQY3jaFah89eWtRQQuYxR52uqc5Qcd9t7D,9WdzwW7TrWzNZKtip6FKwcRMjCqRZis5mkJB5ira2T5K,Full Time Result,EventResultFullTime,Olympique Marseille,2,2,2,2,100,100,"100,75,50",FALSE
CLVbrdt67Dsr8uA5ahWNva6CdPPfHWaymqLydHZESimK,AwpLEHQET5XLpVxLUhKmi6zJYsHCbVwfYBQAn63VoJ2j,Full Time Result,EventResultFullTime,Nice,0,2,2,2,100,100,"100,75,50",FALSE
CLVbrdt67Dsr8uA5ahWNva6CdPPfHWaymqLydHZESimK,AwpLEHQET5XLpVxLUhKmi6zJYsHCbVwfYBQAn63VoJ2j,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
CLVbrdt67Dsr8uA5ahWNva6CdPPfHWaymqLydHZESimK,AwpLEHQET5XLpVxLUhKmi6zJYsHCbVwfYBQAn63VoJ2j,Full Time Result,EventResultFullTime,Clermont Foot,2,2,2,2,100,100,"100,75,50",FALSE
E1w2hgLDLjkv4ENLigLRwghqJDketfdT9zng4CeFE7CN,B1WDojF5FCqgDCSFUyRbksVczyRh8QkjoeYJkYWr135g,Winner,EventResultWinner,Brooklyn Nets,0,2,2,2,100,100,"100,75,50",FALSE
E1w2hgLDLjkv4ENLigLRwghqJDketfdT9zng4CeFE7CN,B1WDojF5FCqgDCSFUyRbksVczyRh8QkjoeYJkYWr135g,Winner,EventResultWinner,Philadelphia 76ers,1,2,2,2,100,100,"100,75,50",FALSE
9zUDSzRPY5kLTLu8c4TSfYNBYNfjbvBPWn4nqyeDyupQ,BHWYLvXtcqooB9pLtm18bQn8w93aZuQ6RYSuTQj3Ynph,Full Time Result,EventResultFullTime,Borussia Dortmund,0,2,2,2,100,100,"100,75,50",FALSE
9zUDSzRPY5kLTLu8c4TSfYNBYNfjbvBPWn4nqyeDyupQ,BHWYLvXtcqooB9pLtm18bQn8w93aZuQ6RYSuTQj3Ynph,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
9zUDSzRPY5kLTLu8c4TSfYNBYNfjbvBPWn4nqyeDyupQ,BHWYLvXtcqooB9pLtm18bQn8w93aZuQ6RYSuTQj3Ynph,Full Time Result,EventResultFullTime,Eintracht Frankfurt,2,2,2,2,100,100,"100,75,50",FALSE
CsQ6bvRpCBYquTyJbLF41xbotaA6hjXqLm1FDbPc1izt,C46QDGwtwGgTR6QJ13HrGH4Ddpv4SdWhxYx3nK4bfJh,Winner,EventResultWinner,New York Knicks,0,2,2,2,100,100,"100,75,50",FALSE
CsQ6bvRpCBYquTyJbLF41xbotaA6hjXqLm1FDbPc1izt,C46QDGwtwGgTR6QJ13HrGH4Ddpv4SdWhxYx3nK4bfJh,Winner,EventResultWinner,Cleveland Cavaliers,1,2,2,2,100,100,"100,75,50",FALSE
6sc6usceit7iagGp9dyPiz2ujVF2QeNqVkGcvi8PDwq4,CJbjjucrWrZsPamguuL1EujWL1pLWYcH4J9zaZzeeMYC,Full Time Result,EventResultFullTime,Montpellier,0,2,2,2,100,100,"100,75,50",FALSE
6sc6usceit7iagGp9dyPiz2ujVF2QeNqVkGcvi8PDwq4,CJbjjucrWrZsPamguuL1EujWL1pLWYcH4J9zaZzeeMYC,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
6sc6usceit7iagGp9dyPiz2ujVF2QeNqVkGcvi8PDwq4,CJbjjucrWrZsPamguuL1EujWL1pLWYcH4J9zaZzeeMYC,Full Time Result,EventResultFullTime,Rennes,2,2,2,2,100,100,"100,75,50",FALSE
8qrSR5E1pAnQbZWk565p3jmu2cPyypFw2wSD1NmLDAh8,Ch1zT9x5UD737rbzXWUKju12sC6dRBekXDogNMeLd2a2,Full Time Result,EventResultFullTime,Lecce,0,2,2,2,100,100,"100,75,50",FALSE
8qrSR5E1pAnQbZWk565p3jmu2cPyypFw2wSD1NmLDAh8,Ch1zT9x5UD737rbzXWUKju12sC6dRBekXDogNMeLd2a2,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
8qrSR5E1pAnQbZWk565p3jmu2cPyypFw2wSD1NmLDAh8,Ch1zT9x5UD737rbzXWUKju12sC6dRBekXDogNMeLd2a2,Full Time Result,EventResultFullTime,Udinese,2,2,2,2,100,100,"100,75,50",FALSE
9vnYMuZb9vH7uTFPPVikD8KYyHH88pxYKNXW3D2XkSvy,D89gFRajeDJ7F7gBrpyDAbxREZ8MVgvKdwKc1KbTRdwp,Full Time Result,EventResultFullTime,Bologna,0,2,2,2,100,100,"100,75,50",FALSE
9vnYMuZb9vH7uTFPPVikD8KYyHH88pxYKNXW3D2XkSvy,D89gFRajeDJ7F7gBrpyDAbxREZ8MVgvKdwKc1KbTRdwp,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
9vnYMuZb9vH7uTFPPVikD8KYyHH88pxYKNXW3D2XkSvy,D89gFRajeDJ7F7gBrpyDAbxREZ8MVgvKdwKc1KbTRdwp,Full Time Result,EventResultFullTime,Juventus,2,2,2,2,100,100,"100,75,50",FALSE
8pjqf651VirvVkgFujmGKQD5S8DrB1wLxWp7RwijZJCk,DWYckawoUENE9ostHxwsKKbrHhg1Rn5YJ5wHxMGHWJLm,Full Time Result,EventResultFullTime,Monza,0,2,2,2,100,100,"100,75,50",FALSE
8pjqf651VirvVkgFujmGKQD5S8DrB1wLxWp7RwijZJCk,DWYckawoUENE9ostHxwsKKbrHhg1Rn5YJ5wHxMGHWJLm,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
8pjqf651VirvVkgFujmGKQD5S8DrB1wLxWp7RwijZJCk,DWYckawoUENE9ostHxwsKKbrHhg1Rn5YJ5wHxMGHWJLm,Full Time Result,EventResultFullTime,Fiorentina,2,2,2,2,100,100,"100,75,50",FALSE
H7W5x7FYKvdCLKdzmNJs6sR5XSyPLDAUbJHZRX72BfUw,DZrmUniAQtNkoBjstVAXrRnd5D2CERPBvk9bqmceRDFT,Full Time Result,EventResultFullTime,Nantes,0,2,2,2,100,100,"100,75,50",FALSE
H7W5x7FYKvdCLKdzmNJs6sR5XSyPLDAUbJHZRX72BfUw,DZrmUniAQtNkoBjstVAXrRnd5D2CERPBvk9bqmceRDFT,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
H7W5x7FYKvdCLKdzmNJs6sR5XSyPLDAUbJHZRX72BfUw,DZrmUniAQtNkoBjstVAXrRnd5D2CERPBvk9bqmceRDFT,Full Time Result,EventResultFullTime,Troyes,2,2,2,2,100,100,"100,75,50",FALSE
4QGtmcUtU1k7NrsDPvHHnL2R9WaTtUETay9bkGrbg792,Dn76mXU2CQVGWfm8dfaqWg1D66tRmDZtSbX1rHezh5Hp,Full Time Result,EventResultFullTime,AC Milan,0,2,2,2,100,100,"100,75,50",FALSE
4QGtmcUtU1k7NrsDPvHHnL2R9WaTtUETay9bkGrbg792,Dn76mXU2CQVGWfm8dfaqWg1D66tRmDZtSbX1rHezh5Hp,Full Time Result,EventResultFullTime,Draw,1,2,2,2,100,100,"100,75,50",FALSE
4QGtmcUtU1k7NrsDPvHHnL2R9WaTtUETay9bkGrbg792,Dn76mXU2CQVGWfm8dfaqWg1D66tRmDZtSbX1rHezh5Hp,Full Time Result,EventResultFullTime,Lecce,2,2,2,2,100,100,"100,75,50",FALSE
